"NOME_MUN","NU_ANO","CASOS"
"São José de Ubá",2016,257
"São José de Ubá",2017,3
"São José de Ubá",2018,5
"São José de Ubá",2019,35
"São José de Ubá",2020,0
"São José de Ubá",2021,5
"São José de Ubá",2022,69
"São José de Ubá",2023,88
"São José de Ubá",2024,97
"São José de Ubá",2025,7
"São José do Vale do Rio Preto",2015,869
"São José do Vale do Rio Preto",2016,136
"São José do Vale do Rio Preto",2017,6
"São José do Vale do Rio Preto",2018,4
"São José do Vale do Rio Preto",2019,2
"São José do Vale do Rio Preto",2020,2
"São José do Vale do Rio Preto",2021,2
"São José do Vale do Rio Preto",2022,0
"São José do Vale do Rio Preto",2023,1
"São José do Vale do Rio Preto",2024,418
"São José do Vale do Rio Preto",2025,20
"São Pedro da Aldeia",2015,53
"São Pedro da Aldeia",2016,934
"São Pedro da Aldeia",2017,19
"São Pedro da Aldeia",2018,78
"São Pedro da Aldeia",2019,231
"São Pedro da Aldeia",2020,39
"São Pedro da Aldeia",2021,113
"São Pedro da Aldeia",2022,30
"São Pedro da Aldeia",2023,733
"São Pedro da Aldeia",2024,305
"São Pedro da Aldeia",2025,93
"São Sebastião do Alto",2015,4
"São Sebastião do Alto",2016,196
"São Sebastião do Alto",2017,0
"São Sebastião do Alto",2018,1
"São Sebastião do Alto",2019,1
"São Sebastião do Alto",2020,0
"São Sebastião do Alto",2021,0
"São Sebastião do Alto",2022,8
"São Sebastião do Alto",2023,29
"São Sebastião do Alto",2024,215
"São Sebastião do Alto",2025,228
"Sapucaia",2015,185
"Sapucaia",2016,446
"Sapucaia",2017,8
"Sapucaia",2018,4
"Sapucaia",2019,1
"Sapucaia",2020,1
"Sapucaia",2021,72
"Sapucaia",2022,1
"Sapucaia",2023,29
"Sapucaia",2024,1196
"Sapucaia",2025,44
"Saquarema",2015,2207
"Saquarema",2016,2593
"Saquarema",2017,892
"Saquarema",2018,121
"Saquarema",2019,28
"Saquarema",2020,53
"Saquarema",2021,198
"Saquarema",2022,5
"Saquarema",2023,66
"Saquarema",2024,971
"Saquarema",2025,65
"Seropédica",2015,211
"Seropédica",2016,227
"Seropédica",2017,86
"Seropédica",2018,92
"Seropédica",2019,115
"Seropédica",2020,0
"Seropédica",2021,5
"Seropédica",2022,122
"Seropédica",2023,32
"Seropédica",2024,123
"Seropédica",2025,14
"Silva Jardim",2015,14
"Silva Jardim",2016,64
"Silva Jardim",2017,0
"Silva Jardim",2018,1
"Silva Jardim",2019,10
"Silva Jardim",2020,0
"Silva Jardim",2021,0
"Silva Jardim",2022,3
"Silva Jardim",2023,6
"Silva Jardim",2024,193
"Silva Jardim",2025,61
"Sumidouro",2015,0
"Sumidouro",2016,212
"Sumidouro",2017,0
"Sumidouro",2018,0
"Sumidouro",2019,0
"Sumidouro",2020,0
"Sumidouro",2021,0
"Sumidouro",2022,0
"Sumidouro",2023,69
"Sumidouro",2024,489
"Sumidouro",2025,15
"Tanguá",2015,0
"Tanguá",2016,94
"Tanguá",2017,29
"Tanguá",2018,81
"Tanguá",2019,17
"Tanguá",2020,11
"Tanguá",2021,1
"Tanguá",2022,4
"Tanguá",2023,51
"Tanguá",2024,130
"Tanguá",2025,14
"Teresópolis",2015,73
"Teresópolis",2016,721
"Teresópolis",2017,6
"Teresópolis",2018,5
"Teresópolis",2019,22
"Teresópolis",2020,13
"Teresópolis",2021,5
"Teresópolis",2022,3
"Teresópolis",2023,20
"Teresópolis",2024,2070
"Teresópolis",2025,45
"Trajano de Moraes",2015,2
"Trajano de Moraes",2016,33
"Trajano de Moraes",2017,3
"Trajano de Moraes",2018,0
"Trajano de Moraes",2019,0
"Trajano de Moraes",2020,0
"Trajano de Moraes",2021,0
"Trajano de Moraes",2022,6
"Trajano de Moraes",2023,5
"Trajano de Moraes",2024,67
"Trajano de Moraes",2025,170
"Três Rios",2015,104
"Três Rios",2016,468
"Três Rios",2017,2
"Três Rios",2018,21
"Três Rios",2019,82
"Três Rios",2020,4
"Três Rios",2021,13
"Três Rios",2022,6
"Três Rios",2023,486
"Três Rios",2024,1858
"Três Rios",2025,46
"Valença",2015,585
"Valença",2016,1488
"Valença",2017,9
"Valença",2018,10
"Valença",2019,30
"Valença",2020,28
"Valença",2021,91
"Valença",2022,49
"Valença",2023,6
"Valença",2024,839
"Valença",2025,404
"Varre-Sai",2015,15
"Varre-Sai",2016,294
"Varre-Sai",2017,2
"Varre-Sai",2018,0
"Varre-Sai",2019,30
"Varre-Sai",2020,7
"Varre-Sai",2021,0
"Varre-Sai",2022,3
"Varre-Sai",2023,329
"Varre-Sai",2024,100
"Varre-Sai",2025,6
"Vassouras",2015,774
"Vassouras",2016,584
"Vassouras",2017,73
"Vassouras",2018,44
"Vassouras",2019,279
"Vassouras",2020,480
"Vassouras",2021,27
"Vassouras",2022,54
"Vassouras",2023,29
"Vassouras",2024,3410
"Vassouras",2025,124
"Volta Redonda",2015,4468
