"NOME_MUN","RACA_COR","NU_ANO","CASOS"
"Belford Roxo","Amarela","2018",2
"Belford Roxo","Amarela","2019",0
"Belford Roxo","Amarela","2020",0
"Belford Roxo","Amarela","2021",0
"Belford Roxo","Amarela","2022",0
"Belford Roxo","Amarela","2023",0
"Belford Roxo","Amarela","2024",1
"Belford Roxo","Amarela","2025",0
"Belford Roxo","Parda","2015",50
"Belford Roxo","Parda","2016",147
"Belford Roxo","Parda","2017",0
"Belford Roxo","Parda","2018",9
"Belford Roxo","Parda","2019",122
"Belford Roxo","Parda","2020",15
"Belford Roxo","Parda","2021",23
"Belford Roxo","Parda","2022",103
"Belford Roxo","Parda","2023",109
"Belford Roxo","Parda","2024",117
"Belford Roxo","Parda","2025",19
"Belford Roxo","Indígena","2015",0
"Belford Roxo","Indígena","2016",0
"Belford Roxo","Indígena","2017",0
"Belford Roxo","Indígena","2018",0
"Belford Roxo","Indígena","2019",7
"Belford Roxo","Indígena","2020",0
"Belford Roxo","Indígena","2021",0
"Belford Roxo","Indígena","2022",1
"Belford Roxo","Indígena","2023",1
"Belford Roxo","Indígena","2024",0
"Belford Roxo","Indígena","2025",0
"Belford Roxo","Ignorado","2015",105
"Belford Roxo","Ignorado","2016",47
"Belford Roxo","Ignorado","2017",0
"Belford Roxo","Ignorado","2018",29
"Belford Roxo","Ignorado","2019",129
"Belford Roxo","Ignorado","2020",17
"Belford Roxo","Ignorado","2021",56
"Belford Roxo","Ignorado","2022",58
"Belford Roxo","Ignorado","2023",58
"Belford Roxo","Ignorado","2024",33
"Belford Roxo","Ignorado","2025",14
"Bom Jardim","Branca","2015",23
"Bom Jardim","Branca","2016",226
"Bom Jardim","Branca","2017",1
"Bom Jardim","Branca","2018",1
"Bom Jardim","Branca","2019",25
"Bom Jardim","Branca","2020",0
"Bom Jardim","Branca","2021",0
"Bom Jardim","Branca","2022",1
"Bom Jardim","Branca","2023",3
"Bom Jardim","Branca","2024",1016
"Bom Jardim","Branca","2025",56
"Bom Jardim","Preta","2015",0
"Bom Jardim","Preta","2016",28
"Bom Jardim","Preta","2017",0
"Bom Jardim","Preta","2018",0
"Bom Jardim","Preta","2019",9
"Bom Jardim","Preta","2020",0
"Bom Jardim","Preta","2021",0
"Bom Jardim","Preta","2022",0
"Bom Jardim","Preta","2023",0
"Bom Jardim","Preta","2024",193
"Bom Jardim","Preta","2025",4
"Bom Jardim","Amarela","2015",0
"Bom Jardim","Amarela","2016",0
"Bom Jardim","Amarela","2017",0
"Bom Jardim","Amarela","2018",0
"Bom Jardim","Amarela","2019",1
"Bom Jardim","Amarela","2020",0
"Bom Jardim","Amarela","2021",0
"Bom Jardim","Amarela","2022",0
"Bom Jardim","Amarela","2023",0
"Bom Jardim","Amarela","2024",2
"Bom Jardim","Amarela","2025",0
"Bom Jardim","Parda","2015",1
"Bom Jardim","Parda","2016",12
"Bom Jardim","Parda","2017",0
"Bom Jardim","Parda","2018",0
